imovel,hospede,checkin,checkout,valor,origem
506G,Hospede,10/03/2025,18/03/2025,"1.461,92",Booking
506G,Hospede,20/03/2025,28/03/2025,"1.461,92",Direto
506G,Hospede,01/04/2025,08/04/2025,"1.279,18",Airbnb
506G,Hospede,10/04/2025,18/04/2025,"1.461,92",Booking
506G,Hospede,20/04/2025,28/04/2025,"1.461,92",Direto
506G,Hospede,01/05/2025,08/05/2025,"1.279,18",Airbnb
506G,Hospede,10/05/2025,18/05/2025,"1.461,92",Booking
506G,Hospede,20/05/2025,28/05/2025,"1.461,92",Direto
506G,Hospede,01/06/2025,08/06/2025,"1.279,18",Airbnb
506G,Hospede,10/06/2025,18/06/2025,"1.461,92",Booking
506G,Hospede,20/06/2025,28/06/2025,"1.461,92",Direto
506G,Hospede,01/07/2025,08/07/2025,"1.279,18",Airbnb
506G,Hospede,10/07/2025,18/07/2025,"1.461,92",Booking
506G,Hospede,20/07/2025,28/07/2025,"1.461,92",Direto
506G,Hospede,01/08/2025,08/08/2025,"1.279,18",Airbnb
506G,Hospede,10/08/2025,18/08/2025,"1.461,92",Booking
506G,Hospede,20/08/2025,28/08/2025,"1.461,92",Direto
506G,Hospede,01/09/2025,08/09/2025,"1.279,18",Airbnb
506G,Hospede,10/09/2025,18/09/2025,"1.461,92",Booking
506G,Hospede,20/09/2025,28/09/2025,"1.461,92",Direto
506G,Hospede,01/10/2025,08/10/2025,"1.279,18",Airbnb
506G,Hospede,10/10/2025,18/10/2025,"1.461,92",Booking
506G,Hospede,20/10/2025,28/10/2025,"1.461,92",Direto
506G,Hospede,01/11/2025,08/11/2025,"1.279,18",Airbnb
506G,Hospede,10/11/2025,18/11/2025,"1.461,92",Booking
506G,Hospede,20/11/2025,28/11/2025,"1.461,92",Direto
506G,Hospede,01/12/2025,08/12/2025,"1.279,18",Airbnb
506G,Hospede,10/12/2025,18/12/2025,"1.461,92",Booking
506G,Hospede,20/12/2025,28/12/2025,"1.461,92",Direto
601G,Hospede,01/01/2025,06/01/2025,"854,10",Airbnb
601G,Hospede,09/01/2025,15/01/2025,"1.024,92",Booking
601G,Hospede,18/01/2025,26/01/2025,"1.366,56",Direto
601G,Hospede,01/02/2025,06/02/2025,"854,10",Airbnb
601G,Hospede,09/02/2025,15/02/2025,"1.024,92",Booking
601G,Hospede,18/02/2025,26/02/2025,"1.366,56",Direto
601G,Hospede,01/03/2025,06/03/2025,"854,10",Airbnb
601G,Hospede,09/03/2025,15/03/2025,"1.024,92",Booking
601G,Hospede,18/03/2025,26/03/2025,"1.366,56",Direto
601G,Hospede,01/04/2025,06/04/2025,"854,10",Airbnb
601G,Hospede,09/04/2025,15/04/2025,"1.024,92",Booking
601G,Hospede,18/04/2025,26/04/2025,"1.366,56",Direto
601G,Hospede,01/05/2025,06/05/2025,"854,10",Airbnb
601G,Hospede,09/05/2025,15/05/2025,"1.024,92",Booking
601G,Hospede,18/05/2025,26/05/2025,"1.366,56",Direto
601G,Hospede,01/06/2025,06/06/2025,"854,10",Airbnb
601G,Hospede,09/06/2025,15/06/2025,"1.024,92",Booking
601G,Hospede,18/06/2025,26/06/2025,"1.366,56",Direto
601G,Hospede,01/07/2025,06/07/2025,"854,10",Airbnb
601G,Hospede,09/07/2025,15/07/2025,"1.024,92",Booking
601G,Hospede,18/07/2025,26/07/2025,"1.366,56",Direto
601G,Hospede,01/08/2025,06/08/2025,"854,10",Airbnb
601G,Hospede,09/08/2025,15/08/2025,"1.024,92",Booking
601G,Hospede,18/08/2025,26/08/2025,"1.366,56",Direto
601G,Hospede,01/09/2025,06/09/2025,"854,10",Airbnb
601G,Hospede,09/09/2025,15/09/2025,"1.024,92",Booking
601G,Hospede,18/09/2025,26/09/2025,"1.366,56",Direto
601G,Hospede,01/10/2025,06/10/2025,"854,10",Airbnb
601G,Hospede,09/10/2025,15/10/2025,"1.024,92",Booking
601G,Hospede,18/10/2025,26/10/2025,"1.366,56",Direto
601G,Hospede,01/11/2025,06/11/2025,"854,10",Airbnb
601G,Hospede,09/11/2025,15/11/2025,"1.024,92",Booking
601G,Hospede,18/11/2025,26/11/2025,"1.366,56",Direto
601G,Hospede,01/12/2025,06/12/2025,"854,10",Airbnb
601G,Hospede,09/12/2025,15/12/2025,"1.024,92",Booking
601G,Hospede,18/12/2025,26/12/2025,"1.366,56",Direto
701G,Hospede,01/01/2025,08/01/2025,"1.242,22",Airbnb
701G,Hospede,10/01/2025,18/01/2025,"1.419,68",Booking
701G,Hospede,20/01/2025,28/01/2025,"1.419,68",Direto
701G,Hospede,01/02/2025,08/02/2025,"1.242,22",Airbnb
701G,Hospede,10/02/2025,18/02/2025,"1.419,68",Booking
701G,Hospede,20/02/2025,28/02/2025,"1.419,68",Direto
701G,Hospede,01/03/2025,08/03/2025,"1.242,22",Airbnb
701G,Hospede,10/03/2025,18/03/2025,"1.419,68",Booking
701G,Hospede,20/03/2025,28/03/2025,"1.419,68",Direto
701G,Hospede,01/04/2025,08/04/2025,"1.242,22",Airbnb
701G,Hospede,10/04/2025,18/04/2025,"1.419,68",Booking
701G,Hospede,20/04/2025,28/04/2025,"1.419,68",Direto
701G,Hospede,01/05/2025,08/05/2025,"1.242,22",Airbnb
701G,Hospede,10/05/2025,18/05/2025,"1.419,68",Booking
701G,Hospede,20/05/2025,28/05/2025,"1.419,68",Direto
701G,Hospede,01/06/2025,08/06/2025,"1.242,22",Airbnb
701G,Hospede,10/06/2025,18/06/2025,"1.419,68",Booking
701G,Hospede,20/06/2025,28/06/2025,"1.419,68",Direto
701G,Hospede,01/07/2025,08/07/2025,"1.242,22",Airbnb
701G,Hospede,10/07/2025,18/07/2025,"1.419,68",Booking
701G,Hospede,20/07/2025,28/07/2025,"1.419,68",Direto
701G,Hospede,01/08/2025,08/08/2025,"1.242,22",Airbnb
701G,Hospede,10/08/2025,18/08/2025,"1.419,68",Booking
701G,Hospede,20/08/2025,28/08/2025,"1.419,68",Direto
701G,Hospede,01/09/2025,08/09/2025,"1.242,22",Airbnb
701G,Hospede,10/09/2025,18/09/2025,"1.419,68",Booking
701G,Hospede,20/09/2025,28/09/2025,"1.419,68",Direto
701G,Hospede,01/10/2025,08/10/2025,"1.242,22",Airbnb
701G,Hospede,10/10/2025,18/10/2025,"1.419,68",Booking
701G,Hospede,20/10/2025,28/10/2025,"1.419,68",Direto
701G,Hospede,01/11/2025,08/11/2025,"1.242,22",Airbnb
701G,Hospede,10/11/2025,18/11/2025,"1.419,68",Booking
701G,Hospede,20/11/2025,28/11/2025,"1.419,68",Direto
701G,Hospede,01/12/2025,08/12/2025,"1.242,22",Airbnb
701G,Hospede,10/12/2025,18/12/2025,"1.419,68",Booking
701G,Hospede,20/12/2025,28/12/2025,"1.419,68",Direto
703G,Hospede,01/01/2025,08/01/2025,"1.285,06",Airbnb
703G,Hospede,10/01/2025,18/01/2025,"1.468,64",Booking
703G,Hospede,20/01/2025,28/01/2025,"1.468,64",Direto
703G,Hospede,01/02/2025,08/02/2025,"1.285,06",Airbnb
703G,Hospede,10/02/2025,18/02/2025,"1.468,64",Booking
703G,Hospede,20/02/2025,28/02/2025,"1.468,64",Direto
703G,Hospede,01/03/2025,08/03/2025,"1.285,06",Airbnb
703G,Hospede,10/03/2025,18/03/2025,"1.468,64",Booking
703G,Hospede,20/03/2025,28/03/2025,"1.468,64",Direto
703G,Hospede,01/04/2025,08/04/2025,"1.285,06",Airbnb
703G,Hospede,10/04/2025,18/04/2025,"1.468,64",Booking
703G,Hospede,20/04/2025,28/04/2025,"1.468,64",Direto
703G,Hospede,01/05/2025,08/05/2025,"1.285,06",Airbnb
703G,Hospede,10/05/2025,18/05/2025,"1.468,64",Booking
703G,Hospede,20/05/2025,28/05/2025,"1.468,64",Direto
703G,Hospede,01/06/2025,08/06/2025,"1.285,06",Airbnb
703G,Hospede,10/06/2025,18/06/2025,"1.468,64",Booking
703G,Hospede,20/06/2025,28/06/2025,"1.468,64",Direto
703G,Hospede,01/07/2025,08/07/2025,"1.285,06",Airbnb
703G,Hospede,10/07/2025,18/07/2025,"1.468,64",Booking
703G,Hospede,20/07/2025,28/07/2025,"1.468,64",Direto
703G,Hospede,01/08/2025,08/08/2025,"1.285,06",Airbnb
703G,Hospede,10/08/2025,18/08/2025,"1.468,64",Booking
703G,Hospede,20/08/2025,28/08/2025,"1.468,64",Direto
703G,Hospede,01/09/2025,08/09/2025,"1.285,06",Airbnb
703G,Hospede,10/09/2025,18/09/2025,"1.468,64",Booking
703G,Hospede,20/09/2025,28/09/2025,"1.468,64",Direto
703G,Hospede,01/10/2025,08/10/2025,"1.285,06",Airbnb
703G,Hospede,10/10/2025,18/10/2025,"1.468,64",Booking
703G,Hospede,20/10/2025,28/10/2025,"1.468,64",Direto
703G,Hospede,01/11/2025,08/11/2025,"1.285,06",Airbnb
703G,Hospede,10/11/2025,18/11/2025,"1.468,64",Booking
703G,Hospede,20/11/2025,28/11/2025,"1.468,64",Direto
703G,Hospede,01/12/2025,08/12/2025,"1.285,06",Airbnb
703G,Hospede,10/12/2025,18/12/2025,"1.468,64",Booking
703G,Hospede,20/12/2025,28/12/2025,"1.468,64",Direto
806G,Hospede,01/01/2025,08/01/2025,"1.229,34",Airbnb
806G,Hospede,10/01/2025,18/01/2025,"1.404,96",Booking
806G,Hospede,20/01/2025,28/01/2025,"1.404,96",Direto
806G,Hospede,01/02/2025,08/02/2025,"1.229,34",Airbnb
806G,Hospede,10/02/2025,18/02/2025,"1.404,96",Booking
806G,Hospede,20/02/2025,28/02/2025,"1.404,96",Direto
806G,Hospede,01/03/2025,08/03/2025,"1.229,34",Airbnb
806G,Hospede,10/03/2025,18/03/2025,"1.404,96",Booking
806G,Hospede,20/03/2025,28/03/2025,"1.404,96",Direto
806G,Hospede,01/04/2025,08/04/2025,"1.229,34",Airbnb
806G,Hospede,10/04/2025,18/04/2025,"1.404,96",Booking
806G,Hospede,20/04/2025,28/04/2025,"1.404,96",Direto
806G,Hospede,01/05/2025,08/05/2025,"1.229,34",Airbnb
806G,Hospede,10/05/2025,18/05/2025,"1.404,96",Booking
806G,Hospede,20/05/2025,28/05/2025,"1.404,96",Direto
806G,Hospede,01/06/2025,08/06/2025,"1.229,34",Airbnb
806G,Hospede,10/06/2025,18/06/2025,"1.404,96",Booking
806G,Hospede,20/06/2025,28/06/2025,"1.404,96",Direto
806G,Hospede,01/07/2025,08/07/2025,"1.229,34",Airbnb
806G,Hospede,10/07/2025,18/07/2025,"1.404,96",Booking
806G,Hospede,20/07/2025,28/07/2025,"1.404,96",Direto
806G,Hospede,01/08/2025,08/08/2025,"1.229,34",Airbnb
806G,Hospede,10/08/2025,18/08/2025,"1.404,96",Booking
806G,Hospede,20/08/2025,28/08/2025,"1.404,96",Direto
806G,Hospede,01/09/2025,08/09/2025,"1.229,34",Airbnb
806G,Hospede,10/09/2025,18/09/2025,"1.404,96",Booking
806G,Hospede,20/09/2025,28/09/2025,"1.404,96",Direto
806G,Hospede,01/10/2025,08/10/2025,"1.229,34",Airbnb
806G,Hospede,10/10/2025,18/10/2025,"1.404,96",Booking
806G,Hospede,20/10/2025,28/10/2025,"1.404,96",Direto
806G,Hospede,01/11/2025,08/11/2025,"1.229,34",Airbnb
806G,Hospede,10/11/2025,18/11/2025,"1.404,96",Booking
806G,Hospede,20/11/2025,28/11/2025,"1.404,96",Direto
806G,Hospede,01/12/2025,08/12/2025,"1.229,34",Airbnb
806G,Hospede,10/12/2025,18/12/2025,"1.404,96",Booking
806G,Hospede,20/12/2025,28/12/2025,"1.404,96",Direto
